Scheme,Priority,Run,Batch,Time,Runtime
FS,1,11,B4,43.27926691621542,17.303955750168644
FS,1,11,B1,43.31644997000694,36.33279579541886
FS,1,11,B3,50.04322493914515,46.47228086237378
FS,1,11,B4,50.10059091728181,14.190977309003433
FS,1,11,B4,50.14838196802884,20.32356036914821
FS,1,11,B5,50.18654093146324,44.165794148809404
FS,1,11,B2,57.52141692209989,54.81417323646066
FS,1,11,B5,57.571448967792094,49.34208823707326
FS,1,11,B1,57.60622292291373,47.51452176923126
FS,1,11,B3,57.63253592886031,34.60982133180993
FS,1,11,B1,57.65902099665254,49.91735044727861
FS,1,11,B2,57.70842498168349,50.011145597010675
FS,1,11,B2,57.73768201470375,53.639143964475245
FS,1,11,B4,57.76704498566687,19.97476808296145
FS,1,11,B4,57.79820599127561,19.728334516627548
FS,1,11,B3,57.901585940271616,24.18213637969623
FS,1,11,B5,66.8071819236502,61.16764237258027
FS,1,11,B4,66.87745091039687,17.187093760792084
FS,1,11,B4,66.93727790843695,11.422100815342658
FS,1,11,B2,66.97911792434752,59.20381433564248
FS,1,11,B3,67.00582394842058,27.308259022930855
FS,1,11,B3,67.02496798243374,11.723977544712747
FS,1,11,B4,75.31941495835781,12.681918396546815
FS,1,11,B4,75.38978394586593,21.449863168569703
FS,1,11,B3,75.42223099153489,26.880737892695617
FS,1,11,B4,75.45144890900701,11.016369994179872
FS,1,11,B4,86.48520393762738,14.717612929164106
FS,1,11,B4,86.55957400333136,7.796703321059844
FS,1,11,B4,86.59674401860684,8.692410691330418
FS,1,11,B4,86.64642600342631,17.394174397182756
FS,1,11,B3,86.68788196519017,20.85638222735332
FS,1,11,B3,86.84206695761532,17.54409764876601
FS,1,11,B4,94.36083899345249,16.27728059319687
FS,1,11,B3,94.42584891803563,32.91602622269754
FS,1,11,B4,94.4643309339881,4.830694821112928
FS,1,11,B5,94.51213094871491,86.87493401266374
FS,1,11,B2,94.558838987723,29.91833287150994
FS,1,11,B4,107.10388200823218,12.76710752002217
FS,1,11,B1,107.18122194521129,101.53728262290238
FS,1,11,B3,107.22174891270697,39.78675501484313
FS,1,11,B4,107.25891997572035,8.564766733655524
FS,1,11,B2,107.28946898598224,45.51375690662351
FS,1,11,B4,107.32150194235146,19.5788086156396
FS,1,11,B4,107.34562191646546,11.337630838153853
FS,1,11,B2,107.38581500481814,43.07393119950533
FS,1,11,B1,107.52966091968119,101.80394743545553
FS,1,11,B3,107.56966599728912,18.208813314356192
FS,1,11,B2,116.20772001333535,80.54559465039983
FS,1,11,B3,116.25112791080028,32.76915687520368
FS,1,11,B5,116.2982399109751,39.73790999841996
FS,1,11,B4,116.42154201399535,14.218248383159045
FS,1,11,B5,116.46039097104222,17.691393061469928
FS,1,11,B4,125.41259499266744,14.1829302152558
FS,1,11,B5,125.4543059039861,89.02633877193452
FS,1,11,B3,125.50929200369865,10.756319763293993
FS,1,11,B4,125.53637300152332,11.104364710553929
FS,1,11,B4,125.55542297195643,9.781521678433297
FS,1,11,B2,125.5847429856658,56.82731566848997
FS,1,11,B4,125.60692790430039,13.906035428028169
FS,1,11,B3,125.62802794855088,29.8666631253408
FS,1,11,B5,125.7333179237321,65.59996080895175
FS,1,11,B5,125.7662329589948,70.87033940519002
FS,1,11,B3,135.71204396430403,15.928196313532164
FS,1,11,B4,135.78165997751057,9.37360717028828
FS,1,11,B3,135.81028999760747,25.20666812019484
FS,1,11,B3,135.84096601698548,34.16302553495685
FS,1,11,B4,135.8819130109623,6.0524980062429705
FS,1,11,B3,142.99789001233876,14.222165412506657
FS,1,11,B4,143.05041497573256,20.22957215913433
FS,1,11,B4,143.08007899671793,10.761649355357706
FS,1,11,B4,149.47740198113024,12.213754133374136
FS,1,11,B2,149.53330997377634,38.74376246403877
FS,1,11,B4,149.5657960185781,17.912729018153378
FS,1,11,B4,156.04150900617242,18.694070090666102
FS,1,11,B3,156.0966660035774,14.581167427287893
FS,1,11,B5,156.12585400231183,29.623273040974013
FS,1,11,B4,156.14956093486398,11.936727567618995
FS,1,11,B1,156.18972992524505,92.05679683299559
FS,1,11,B2,156.6370779182762,59.21095324745806
FS,1,11,B2,162.2133719502017,42.60121242449894
FS,1,11,B5,162.26564894896,43.442487721048806
FS,1,11,B3,162.30393492151052,22.77924267170169
FS,1,11,B5,162.34353394247591,42.64714898233671
FS,1,11,B3,162.37019991967827,20.48688988113538
FS,1,11,B4,162.3940239660442,15.056559128884128
FS,1,11,B4,162.54330496303737,12.619447694926405
FS,1,11,B4,168.82803197950125,7.322051157547221
FS,1,11,B3,168.87124092318118,36.67574901505643
FS,1,11,B4,168.9349329099059,13.742314018523567
FS,1,11,B1,168.9781149616465,54.8026546547544
FS,1,11,B4,182.00199294369668,18.342803064465787
FS,1,11,B1,182.09863593801856,133.5503069434524
FS,1,11,B5,182.1337229339406,53.39915261079116
FS,1,11,B4,182.16326890978962,10.656043247312999
FS,1,11,B4,182.18971998430789,11.350015466722263
FS,1,11,B4,182.2145669721067,12.504862571296451
FS,1,11,B3,182.23997892346233,23.08865307369539
FS,1,11,B2,182.28641396854073,72.6045281589788
FS,1,11,B5,182.47072701342404,55.15594357852479
FS,1,11,B4,182.5192569522187,14.777533799821033
FS,1,11,B5,182.62461898848414,19.273950399700148
FS,1,11,B3,188.75029392074794,22.27864152070887
FS,1,11,B3,188.84858000092208,20.962507021734098
FS,1,11,B5,188.88651195447892,25.82237181902029
FS,1,11,B5,189.04331396333873,31.136654923247015
FS,1,11,B2,189.0878559788689,38.57914095665273
FS,1,11,B4,195.22169197443873,10.670702508415781
FS,1,11,B1,195.25427697226405,83.05290424940614
FS,1,11,B3,195.2864839695394,44.138470181699766
FS,1,11,B1,195.327800931409,136.42800137682326
FS,1,11,B4,203.28513998538256,13.378011248442728
FS,1,11,B2,203.34009698126465,74.68238260798474
FS,1,11,B2,203.38529790751636,37.35999602468616
FS,1,11,B4,203.40882195159793,13.678177345784453
FS,1,11,B4,203.43973895069212,13.4669969731462
FS,1,11,B4,203.46677396446466,15.249811272774785
FS,1,11,B3,203.57283391058445,18.822269274250466
FS,1,11,B3,203.59377295244485,33.897677261710925
FS,1,11,B4,203.77087290398777,7.995205428944558
FS,1,11,B3,215.59230098500848,21.542833067024592
FS,1,11,B5,215.65156092401594,24.266429247382153
FS,1,11,B3,223.17917190957814,31.17006620919111
FS,1,11,B4,223.2477170182392,14.830468037484833
FS,1,11,B4,223.27161696739495,12.242696325282237
FS,1,11,B4,223.31309597939253,18.07155023101219
FS,1,11,B3,223.3409029431641,21.967874353847918
FS,1,11,B5,223.44528196845204,39.631950976286696
FS,1,11,B3,230.0406479043886,19.519042599720095
FS,1,11,B3,230.08469596970826,21.75106206642505
FS,1,11,B4,230.12221499811858,19.33719311818628
FS,1,11,B2,237.73011495359242,49.29684251969983
FS,1,11,B4,237.78320499695837,10.144924970574106
FS,1,11,B1,237.81448497902602,79.97234206497036
FS,1,11,B4,237.8434679703787,7.04559437245668
FS,1,11,B5,238.0545879714191,21.722536523447157
FS,1,11,B4,244.45909191854298,35.184623722795926
FS,1,11,B3,244.51063200831413,24.68556270839601
FS,1,11,B1,244.5535269798711,69.06417621327772
FS,1,11,B5,244.58374897949398,49.20121406464462
FS,1,11,B4,244.60940901190042,15.669441798377218
FS,1,11,B2,244.6347539080307,35.399696772649236
FS,1,11,B5,244.7435240028426,58.414180193895156
FS,1,11,B3,244.76529995445162,20.080075739673962
FS,1,11,B3,244.7963139275089,18.608691102426324
FS,1,11,B4,244.97382598929107,14.431068219469429
FS,1,11,B2,245.71734201163054,82.52558095390928
FS,1,11,B3,257.3615899309516,21.814064685956666
FS,1,11,B4,257.40994699299335,14.476112243996758
FS,1,11,B4,257.44199100881815,9.995409308919017
FS,1,11,B3,257.4704729486257,19.787359903569868
FS,1,11,B4,257.5010359287262,15.32572553489238
FS,1,11,B5,265.8077559899539,66.72381019848835
FS,1,11,B2,265.85381501354277,15.540776651519757
FS,1,11,B3,265.8914359053597,16.92048598935689
FS,1,11,B4,265.92077396344393,11.980239943842452
FS,1,11,B4,266.12701395060867,8.282537339663934
FS,1,11,B1,273.53949495591223,71.16063511123633
FS,1,11,B4,273.57840596232563,12.100138551194982
FS,1,11,B2,273.61149701755494,74.77191711761888
FS,1,11,B4,273.64944596774876,18.22208153303621
FS,1,11,B4,279.8327999189496,7.598078154837945
FS,1,11,B3,279.8755009425804,18.461341091923888
FS,1,11,B3,279.9095929367468,28.988284485482804
FS,1,11,B2,279.93342094123363,33.0296577269217
